WATERSHED_ID,Date,Precipitation,Evapotranspiration,Water_Balance_delta_S
SWB_00004,01.07.2023,"8,10","22,00","-13,90"
SWB_00004,01.08.2023,"8,00","17,70","-9,70"
SWB_00004,01.09.2023,"5,50","10,80","-5,30"
SWB_00004,01.10.2023,"17,70","11,10","6,60"
SWB_00004,01.11.2023,"15,30","9,20","6,10"
SWB_00004,01.12.2023,"12,90","8,80","4,10"
SWB_00003,01.01.2000,"21,60","5,00","16,60"
SWB_00003,01.02.2000,"10,00","8,90","1,10"
SWB_00003,01.03.2000,"17,50","24,70","-7,20"
SWB_00003,01.04.2000,"27,30","46,40","-19,10"
SWB_00003,01.05.2000,"34,60","36,30","-1,70"
SWB_00003,01.06.2000,"21,60","29,40","-7,80"
SWB_00003,01.07.2000,"22,10","26,20","-4,10"
SWB_00003,01.08.2000,"11,80","18,40","-6,60"
SWB_00003,01.09.2000,"15,00","12,20","2,80"
SWB_00003,01.10.2000,"35,60","12,50","23,10"
SWB_00003,01.11.2000,"21,10","8,00","13,10"
SWB_00003,01.12.2000,"22,40","4,30","18,10"
SWB_00003,01.01.2001,"20,30","3,30","17,00"
SWB_00003,01.02.2001,"18,40","7,20","11,20"
SWB_00003,01.03.2001,"20,30","26,80","-6,50"
SWB_00003,01.04.2001,"26,50","43,00","-16,50"
SWB_00003,01.05.2001,"19,00","35,10","-16,10"
SWB_00003,01.06.2001,"13,30","24,10","-10,80"
SWB_00003,01.07.2001,"23,60","24,70","-1,10"
SWB_00003,01.08.2001,"15,80","18,00","-2,20"
SWB_00003,01.09.2001,"9,40","12,70","-3,30"
SWB_00003,01.10.2001,"54,30","18,70","35,60"
SWB_00003,01.11.2001,"19,10","9,90","9,20"
SWB_00003,01.12.2001,"24,60","7,30","17,30"
SWB_00003,01.01.2002,"18,80","4,80","14,00"
SWB_00003,01.02.2002,"26,90","10,10","16,80"
SWB_00003,01.03.2002,"44,40","31,20","13,20"
SWB_00003,01.04.2002,"67,70","42,70","25,00"
SWB_00003,01.05.2002,"56,60","55,60","1,00"
